,E1,E2,E3,E4,E5
Understanding Code,"Able to comprehend isolated pieces of code.
","Able to comprehend interrelated pieces of code and their interactions.
","Able to comprehend entire codebases and identify ways to simplify or improve code structure.
",,
Work Breakdown & Prioritization,"Requires assistance in breaking assigned tasks down into multiple components and organizing them in order of priority.
","Able to breakdown work within a feature or epic and have some sense of priority. May participate in creation of issues and task assignment.
","Able to breakdown work within a team and create and assign tasks to team members. Prioritizes tasks effectively and allows the team to work efficiently.
","Able to lead work breakdown sessions, and helps others break down their tasks potentially across teams/projects.
",
Documentation,"Produces memos and documentation describing very basic architectural concepts effectively.
","Produces research documents and specifications describing basic architectural concepts with enough clarity that a solution can be implemented by an external party with significant explanation and guidance.
","Produces research documents and specifications describing substantial architectural concepts as well as specifics required to build them with enough clarity that a solution can be implemented by an external party with some additional explanation and guidance.
","Produces research documents and specifications describing highly complex and/or novel architectural concepts as well as specifics required to build them with enough clarity to be implemented or researched further by third parties with minimal guidance.
","Produces groundbreaking research documents and specifications describing significantly complex architectures that are clear enough to be implemented or researched further with next to no guidance.
"
Task Complexity,"Can handle simple tasks. Requires help from others for more complex tasks.
","Can handle moderately complex tasks and is able to help others depending on the task.
","Can handle highly complex tasks and is able to support other team members on most, if not all, tasks.
","Can handle ANY highly complex tasks which requires many different contexts without support from other team members.
",
Software Architecture,"Has a basic understanding of the architecture of the code they work with. 
","Has a sufficient understanding of the architecture of the code they work with. May sometimes contribute to architectural decisions.
","Has a deep understanding of the architecture of the code they work with. Contributes to and leads architectural decisions.
","Able to understand and apply standard software architectures and common building patterns among multiple similar projects. Able to architect new systems from scratch.
","Able to architect novel systems that are unlike any other things we have ever built. 
"
Security Thinking,"Understands basic security and privacy principles and takes these into consideration when completing tasks.
","Understands the importance of security and privacy. Utilizes this knowledge to ask more senior engineers for help on design decisions that could have security or privacy implications.
","Always considering the security and privacy implications inherent in any projects/tasks and actively works to reduce their impact/assess potential vulnerabilities. Encourages good security practices when reviewing other team members work.
","Produces standards on best security practices that can be applied to multiple similar projects.
","Produces standards on best security practices that can be applied to projects across the organization. 
"
Effective Communication,"Communicates effectively, clearly, concisely in both written and verbal form. Actively listens to others and ensures they are understood. Pays attention to nonverbal communication.
","Usually communicates effectively, clearly, concisely in both written and verbal form, and can communicate both technical and non-technical subjects to teammates. Actively listens to others and ensures they are understood. Pays attention to nonverbal communication.
","Always communicates effectively, clearly, concisely in both written and verbal form, and can communicate both technical and non-technical subjects to teammates in a diverse team. Actively listens to others and ensures they are understood. Pays attention to nonverbal communication.
","Able to communicate effectively with a diverse team and across teams. Fosters a culture of clear, concise, effective, communication on their team, ensuring teammates actively listen to others and are understood. Actively demonstrates these behaviours. Pays attention to nonverbal communication. 
",
Seeking & Delivering Feedback,"Seeks feedback from peers and sometimes offers constructive feedback. Including praise and constructive feedback.
","Seeks feedback from peers, and frequently offers constructive feedback to peers. Including praise and constructive feedback.
","Fosters an environment that welcomes and encourages praise and constructive feedback within their team. Frequently seeks feedback from teammates, and offers constructive and actionable feedback to teammates and manager often.
","Fosters an environment that welcomes and encourages praise and constructive feedback across teams. Seeks feedback from relevant stakeholders w.r.t. the team and effectively communicates that back to the team. 
","Fosters an environment that welcomes and encourages praise and constructive feedback across the organization. Seeks feedback from relevant stakeholders w.r.t. different teams and effectively communicates that back to the teams. 
"
Handling Disagreement,"Needs coaching and oversight around handling and managing disagreements. Puts effort to actively listen and understand others&#39; points of view.
","Realizes that disagreements are healthy and drive higher quality work. Can, with the help of a facilitator, work with others to manage disagreements. Puts effort into understanding others&#39; points of view.
","Realizes that disagreements are healthy and drive higher quality work. Works with others to turn disagreements into productive conversations. Actively listens and understands others&#39; points of view.
",,
Helpfulness,"May occasionally provide help to team members when asked. 
","Provides help to team members when asked. Takes time to help others learn and grow.
","Provides help to team members without being asked. Takes time to help others learn and grow.
",,
